name,charger_type,charger_count,lon,lat
,dcfc,1,-79.01470887175513,35.90640976546208
,dcfc,1,-78.95958969809442,35.962140006156126
,dcfc,1,-79.00961936871383,35.90123685482223
,dcfc,2,-78.84890399290987,35.88455414126316
,dcfc,1,-78.86553728548539,35.93455679147858
,dcfc,1,-78.83933327408683,35.95365302666461
,dcfc,1,-78.97559600303738,36.02945153879954
,dcfc,1,-78.99049132209241,35.989180563110615
,dcfc,1,-78.92788039854892,36.009770350012865
